symbol,side,entry_price,exit_price,pnl_pct,hold_minutes,market_regime,trend,momentum,volatility,timestamp,date,time
BTCUSDT,long,69243.62,69407.8,0.24,0,volatile,neutral,neutral,low,2026-03-11T18:02:51.077371,2026-03-11,18:02:51
BTCUSDT,long,69243.62,69400.0,0.23,0,volatile,neutral,neutral,low,2026-03-11T18:03:52.782705,2026-03-11,18:03:52
BTCUSDT,long,69243.62,69400.0,0.23,0,volatile,neutral,neutral,low,2026-03-11T18:04:54.310462,2026-03-11,18:04:54
BTCUSDT,long,69243.62,69475.1,0.33,0,volatile,neutral,neutral,low,2026-03-11T18:05:56.021839,2026-03-11,18:05:56
BTCUSDT,long,69243.62,69475.1,0.33,0,volatile,neutral,neutral,low,2026-03-11T18:06:58.066822,2026-03-11,18:06:58
BTCUSDT,long,69243.62,69523.5,0.4,0,volatile,neutral,neutral,low,2026-03-11T18:08:00.803772,2026-03-11,18:08:00
BTCUSDT,long,69243.62,69477.1,0.34,0,volatile,neutral,neutral,low,2026-03-11T18:09:02.542099,2026-03-11,18:09:02
BTCUSDT,long,69243.62,69477.1,0.34,0,volatile,neutral,neutral,low,2026-03-11T18:10:04.078080,2026-03-11,18:10:04
BTCUSDT,long,69243.62,69449.1,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:11:06.582795,2026-03-11,18:11:06
BTCUSDT,long,69243.62,69449.1,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:12:08.268847,2026-03-11,18:12:08
BTCUSDT,long,69243.62,69428.2,0.27,0,volatile,neutral,neutral,low,2026-03-11T18:13:10.070616,2026-03-11,18:13:10
BTCUSDT,long,69243.62,69428.2,0.27,0,volatile,neutral,neutral,low,2026-03-11T18:14:11.774749,2026-03-11,18:14:11
BTCUSDT,long,69243.62,69416.9,0.25,0,volatile,neutral,neutral,low,2026-03-11T18:15:13.576428,2026-03-11,18:15:13
BTCUSDT,long,69243.62,69416.9,0.25,0,volatile,neutral,neutral,low,2026-03-11T18:16:15.242779,2026-03-11,18:16:15
BTCUSDT,long,69243.62,69489.1,0.35,0,volatile,neutral,neutral,low,2026-03-11T18:17:18.279735,2026-03-11,18:17:18
BTCUSDT,long,69243.62,69489.1,0.35,0,volatile,neutral,neutral,low,2026-03-11T18:18:20.363316,2026-03-11,18:18:20
BTCUSDT,long,69243.62,69499.9,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:19:22.441826,2026-03-11,18:19:22
BTCUSDT,long,69243.62,69499.6,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:20:24.130961,2026-03-11,18:20:24
BTCUSDT,long,69243.62,69497.5,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:21:25.798230,2026-03-11,18:21:25
BTCUSDT,long,69243.62,69497.5,0.37,0,volatile,neutral,neutral,low,2026-03-11T18:22:27.403602,2026-03-11,18:22:27
BTCUSDT,long,69243.62,69453.5,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:23:29.110375,2026-03-11,18:23:29
BTCUSDT,long,69243.62,69371.3,0.18,0,volatile,neutral,neutral,low,2026-03-11T18:24:31.856203,2026-03-11,18:24:31
BTCUSDT,long,69243.62,69424.8,0.26,0,volatile,neutral,neutral,low,2026-03-11T18:26:36.201588,2026-03-11,18:26:36
BTCUSDT,long,69243.62,69417.4,0.25,0,volatile,neutral,neutral,low,2026-03-11T18:27:38.028203,2026-03-11,18:27:38
BTCUSDT,long,69243.62,69410.0,0.24,0,volatile,neutral,neutral,low,2026-03-11T18:28:39.700161,2026-03-11,18:28:39
BTCUSDT,long,69243.62,69445.7,0.29,0,volatile,neutral,neutral,low,2026-03-11T18:29:41.416812,2026-03-11,18:29:41
BTCUSDT,long,69243.62,69440.2,0.28,0,volatile,neutral,neutral,low,2026-03-11T18:30:43.462383,2026-03-11,18:30:43
BTCUSDT,long,69243.62,69440.2,0.28,0,volatile,neutral,neutral,low,2026-03-11T18:31:45.046629,2026-03-11,18:31:45
BTCUSDT,long,69243.62,69453.9,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:32:46.769072,2026-03-11,18:32:46
BTCUSDT,long,69243.62,69452.0,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:33:49.113711,2026-03-11,18:33:49
BTCUSDT,long,69243.62,69451.4,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:34:50.775100,2026-03-11,18:34:50
BTCUSDT,long,69243.62,69451.4,0.3,0,volatile,neutral,neutral,low,2026-03-11T18:35:52.922467,2026-03-11,18:35:52
BTCUSDT,long,69243.62,69466.6,0.32,0,volatile,neutral,neutral,low,2026-03-11T18:36:54.549030,2026-03-11,18:36:54
